target,method,split,row_kind,rank,tied_at_rank,alpha,aggregate,memorization,privacy_score,utility,model_utility,forget_quality,forget_Q_A_gibberish,privleak,R8,beats_q_on_aggregate,q_rank_among_6,q_collapsed,degenerate_priv0,alpha_at_grid_edge,baseline_lr,baseline_epochs,baseline_retain_loss_type
Llama-3.2-1B-Instruct,IdkNLL,forget10,sud,2,False,0.9,0.13846596441312425,0.4352264102267657,0.056476744215296346,0.6017150183227002,0.4472554464302653,2.734462451060329e-12,0.919139723428525,-95.63888156212445,2.5,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget10,sud,3,False,0.8,0.08122513433626753,0.37628524964991344,0.030589472015978683,0.6305822303025573,0.4892890428110206,9.344235949852775e-13,0.8866110649367329,-97.66354192502061,3.0,False,1.0,False,False,False,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget10,baseline_q,,,,0.2191855478744919,0.49058380587342,0.1044920823673611,0.4811062377361697,0.3264129562880392,9.906736183347326e-11,0.9145097059756516,-91.62904171340868,,,1.0,False,False,,5e-05,5.0,NLL
Llama-3.2-1B-Instruct,IdkNLL,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,NPO,forget10,sud,1,False,0.9,0.7033816968054073,0.6338413128034042,0.8789225713751996,0.6452982772383494,0.5249145411544172,0.13142600454226117,0.8373316564736888,6.734020366992531,2.25,True,1.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget10,sud,2,True,0.8,0.6622117973506878,0.5931335002621927,0.7686262806874818,0.647966700051038,0.5297466362719577,0.01260422744087484,0.834109393444378,-26.51090279176192,3.0,True,1.0,False,False,False,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget10,sud,2,True,0.95,0.6559357704881835,0.6523942771974033,0.6797569649198267,0.63706882585937,0.5150272727446134,0.5234101030810641,0.8349102869234047,20.869186690551857,3.0,True,1.0,False,False,True,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget10,baseline_q,,,,0.610739623042664,0.6694154286225265,0.5088299129062627,0.6882582622065274,0.5462851742013078,0.813414043347709,0.92993827664759,32.20323540204439,,,1.0,False,False,,2e-05,10.0,NLL
Llama-3.2-1B-Instruct,NPO,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,RMU,forget10,sud,1,False,0.8,0.1450937572488167,0.8572143631849228,0.11723491151533065,0.09107605671071199,0.531147619858651,0.0022938851536275073,0.04980835592461517,51.32514019941687,2.12,False,1.0,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget10,sud,2,True,0.7,0.10876393591976563,0.764986322205281,0.06876195903469501,0.08523307521788545,0.5404966237649002,2.1316067663008397e-06,0.04626434222751413,15.103966307205132,2.88,False,1.0,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget10,sud,2,True,0.9,0.14156732708271413,0.8960833442693081,0.1362608523681205,0.07851451933585407,0.5226257474382203,5.974773347845895e-08,0.04244557763988269,54.32771151759184,2.88,False,1.0,False,False,False,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget10,baseline_q,,,,0.1585547562718581,0.9062655020895356,0.1200537951412325,0.1053976270650479,0.5546443271580805,5.137999089404319e-16,0.0582316151461418,56.0916968587651,,,1.0,False,False,,5e-05,5.0,EMBED_DIFF
Llama-3.2-1B-Instruct,RMU,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,SimNPO,forget10,sud,1,False,0.95,0.6891124637480062,0.6472370854569929,0.8836613821190853,0.5963947702250657,0.4609135287383889,0.28118158736530297,0.8446808409423102,3.7699175957125997,2.25,True,1.0,False,False,True,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget10,sud,2,False,0.8,0.5846163175737881,0.5867757522833384,0.5476307232023698,0.6244948748958867,0.494511521718101,0.0022938851536275073,0.8471770840825047,-53.37612114703063,2.88,False,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget10,sud,3,False,0.9,0.6784906592055793,0.6291999676478749,0.8699621659308628,0.5942534040076377,0.4621933965251913,0.054052912731737235,0.8319667392363772,-15.47751614415946,3.0,True,1.0,False,False,False,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget10,baseline_q,,,,0.6519808033531006,0.6633725262987135,0.6530132232367919,0.639978991762176,0.4938623974050595,0.2440568797041848,0.908886768410448,20.810977705118585,,,1.0,False,False,,5e-05,10.0,NLL
Llama-3.2-1B-Instruct,SimNPO,forget10,reference_p,,,,,0.08891733737441981,0.004170449055244705,,0.5991534707368931,3.9054713571083378e-22,,-99.45739100654656,,,,,,,,,
Llama-3.2-1B-Instruct,UNDIAL,forget10,sud,1,False,0.95,0.5525775226464712,0.7602629074988863,0.5084896587266686,0.4657315449022172,0.4409187871700701,3.1252666340221845e-13,0.49350351448287255,-69.14620071362859,2.5,False,1.0,False,False,True,0.0001,10.0,NLL
